acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.13975702,-0.014313923,9.697276679,0.024962154,-0.007535337,-0.018122776,rest
-0.118021544,-0.135684241,9.889015198,-0.002637036,-0.001652629,-0.029953432,rest
1.619502289,1.957546381,9.67209125,0.80430984,0.555203101,0.443343697,rapid_shake
-0.258344684,-0.309937399,0.761216265,0.289182078,0.000468232,0.127656736,fall
-0.139238501,-0.090731569,9.873752634,0.026292103,-0.009943535,0.001304485,rest
0.077364434,0.076516342,9.878605902,0.011976083,0.071963588,-0.018312814,rest
0.121301394,-0.02616365,9.724004517,-0.005191916,0.014797777,0.004936711,rest
0.150020178,-0.037498313,9.545229337,-0.003201216,-0.012625613,0.001237057,rest
-0.060785322,-2.510060068,11.806292202,0.101670385,0.427830759,0.211370653,fall
2.100754262,1.410295994,9.987782768,0.206229766,0.340777688,0.027390069,shake
2.538342887,1.772629553,10.105130146,0.428710377,0.705483481,0.311311516,rapid_shake
2.620120412,2.718262822,9.022355461,0.856875081,0.653229023,0.479914528,rapid_shake
2.717755669,2.460715996,9.849857535,0.429291392,0.813719365,0.538852514,rapid_shake
3.818205075,4.034491985,4.523058308,0.902641451,0.733210681,0.644105613,throw
0.790590747,1.023205178,9.488472201,0.401603249,0.209425862,0.091425701,shake
0.02431981,-0.181722393,9.835207461,0.01051027,-0.012261893,0.008343512,rest
0.162380012,-0.060025119,9.896988978,0.010085163,0.001640117,0.018319184,rest
-0.042969512,-0.104317654,9.727867052,0.007082236,0.046614571,-0.042734028,rest
3.550333509,1.505406255,9.830472902,1.934222655,1.406808154,0.957407534,throw
0.13877144,0.106824605,9.616926162,-0.002100715,0.001111875,-0.007904258,rest
1.069882175,0.482776181,9.629034333,0.480699604,0.205771124,0.059986736,shake
0.154080314,-0.173597059,9.919806479,-0.001721907,-0.019062586,0.012552723,rest
-0.085835006,0.221511677,9.912934375,-0.0009032,0.005675357,-0.003947401,rest
3.257044581,2.214898226,10.20538598,0.989475289,0.440589322,0.341024039,rapid_shake
0.129126573,0.003505362,9.747247225,0.009502335,-0.001112272,0.015553208,rest
2.907010376,1.631193429,9.588907371,0.32124651,0.751026788,0.069520064,fall
2.186751132,2.217544168,5.802310993,0.975670429,0.74609346,0.841700123,throw
